date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:57	159273/159273	---M-Z	200	added ('OK')	text/html	etag:%2226e29-5ec8cd7398180-gzip%22	https://fooddesk.dexignlab.com/xhtml/index.html	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/index.html	(from )
18:10:58	240/240	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Apr%202023%2014:10:59%20GMT	https://fooddesk.dexignlab.com/robots.txt		(from )
18:10:58	332/332	---M--	200	added ('OK')	image/png	etag:%2214c-5e399b2833d00%22	https://fooddesk.dexignlab.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/images/favicon.png	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:58	4048/4048	---M--	200	added ('OK')	text/css	etag:%22fd0-5c3d77112dd80%22	https://fooddesk.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:58	165019/165019	---M--	200	added ('OK')	image/png	etag:%222849b-5e93ee99a4900%22	https://fooddesk.dexignlab.com/xhtml/social-image.png	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/social-image.png	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:59	5696/5696	---M--	200	added ('OK')	text/css	etag:%221640-5df4844c5b400%22	https://fooddesk.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:59	8194/8194	---M--	200	added ('OK')	text/css	etag:%222002-5619054b6bc00%22	https://fooddesk.dexignlab.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/vendor/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:59	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-5a3845e615180%22	https://fooddesk.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:10:59	6030/6030	---M--	200	added ('OK')	image/jpeg	etag:%22178e-5c424653e4600%22	https://fooddesk.dexignlab.com/xhtml/images/avatar/1.jpg	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/images/avatar/1.jpg	(from https://fooddesk.dexignlab.com/xhtml/index.html)
18:11:00	9090/9090	---M--	200	added ('OK')	image/jpeg	etag:%222382-5c424653e4600%22	https://fooddesk.dexignlab.com/xhtml/images/avatar/2.jpg	C:/My%20Web%20Sites/Admin/fooddesk.dexignlab.com/xhtml/images/avatar/2.jpg	(from https://fooddesk.dexignlab.com/xhtml/index.html)
